dba,name_syntax_normalized,name_normalized,detected_known_brands,brand_candidates,is_reviewed_co_brand,has_separator,location_count
DUNKIN' / 'BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,11
DUNKIN' / 'BASKIN-ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,1
DUNKIN' / BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,30
DUNKIN' / BASKIN ROBINS,DUNKIN BASKIN ROBINS,DUNKIN BASKIN ROBINS,DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,1
DUNKIN' / BASKIN-ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,2
DUNKIN' / JIMMY JOHN'S,DUNKIN JIMMY JOHNS,DUNKIN JIMMY JOHNS,DUNKIN | JIMMY JOHNS,DUNKIN | JIMMY JOHNS,True,True,2
DUNKIN' / POPEYES,DUNKIN POPEYES,DUNKIN POPEYES,DUNKIN | POPEYES,DUNKIN | POPEYES,True,True,1
DUNKIN' BASKIN,DUNKIN BASKIN,DUNKIN BASKIN,DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,1
DUNKIN' BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,1
DUNKIN' BASKIN ROBINS,DUNKIN BASKIN ROBINS,DUNKIN BASKIN ROBINS,DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,2
DUNKIN' BASKIN-ROBBINS',DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,1
DUNKIN' DONUTS/BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,1
DUNKIN' DONUTS/JIMMY JOHNS/QNS MARKET,DUNKIN DONUTS JIMMY JOHNS QNS MARKET,DUNKIN DONUTS JIMMY JOHNS QNS MARKET,DUNKIN | JIMMY JOHNS,DUNKIN | JIMMY JOHNS,True,True,1
"DUNKIN', 'BASKIN ROBBINS",DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,7
"DUNKIN', BASKIN ROBBINS",DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,16
"DUNKIN',' BASKIN ROBBINS",DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,18
"DUNKIN','PIZZA HUT',' NATHANS",DUNKIN PIZZA HUT NATHANS,DUNKIN PIZZA HUT NATHANS,DUNKIN | NATHANS | PIZZA HUT,DUNKIN | PIZZA HUT | NATHANS,True,True,1
