brand_name_normalized
375 CHICKEN N FRIES
ALLANTICO VINAIO
ARBYS
AU BON PAIN
AUNTIE ANNES
BAREBURGER
BASKIN ROBBINS
BLIMPIE
BOJANGLES
BONCHON
BOSTON MARKET
BUBBAKOOS BURRITOS
BURGER KING
BURGER QUEENS
BURGERFI
BURGERIM
CARVEL
CHARLEYS PHILLY STEAKS
CHECKERS
CHICK FIL A
CHIPOTLE
CHOPT
CINNABON
COMPTONS
COSI
DAIRY QUEEN
DAVES HOT CHICKEN
DIG
DOMINOS
DUCK DONUTS
DUNKIN
FIREHOUSE SUBS
FISHBOWL
FIVE GUYS
FRESH AND CO
GOLDEN KRUST CARIBBEAN BAKERY AND GRILL
GREENBERGS BAGELS
IPIZZANY
JAMBA
JERSEY MIKES SUBS
JIMMY JOHNS
JOES PIZZA
JOLLIBEE
JUICE GENERATION
JUICE PRESS
JUST SALAD
KFC
KRISPY KREME
KRISPY KRUNCHY CHICKEN
KURA SUSHI
LENWICH
LITTLE CAESARS
MASHED BURGERS
MCDONALDS
MOES SOUTHWEST GRILL
MRBEAST BURGER
NATHANS
NAYA
NEAT
NUM PANG
OAKBERRY ACAI BOWLS
OBAGEL
PANDA EXPRESS
PANERA BREAD
PAPA JOHNS
PHILLY PRETZEL FACTORY
PIZZA HUT
PLAYA BOWLS
POKE BROS
POLLO CAMPERO
POPEYES
POTBELLY
PRESSED
PRET A MANGER
QDOBA
RAISING CANES
ROY ROGERS
SARAVANAA BHAVAN
SARKU JAPAN
SBARRO
SHAHS HALAL
SHAHS HALAL FOOD
SHAKE SHACK
SMASHBURGER
SMOOTHIE KING
SONIC
STARBUCKS
SUBWAY
SWEETGREEN
TACO BELL
TACO MAHAL
TACO MIX
TEXAS CHICKEN AND BURGERS
TEXS CHICKEN AND BURGERS
THE HABIT BURGER GRILL
THE HALAL GUYS
TOGOS
TONY BOYS
TROPICAL SMOOTHIE CAFE
TWO HANDS CORN DOG
VOODOO DOUGHNUT
WASABI
WENDYS
WETZELS PRETZELS
WHITE CASTLE
WINGSTOP
WOK TO WALK
WONDER
XIAN FAMOUS FOODS
